Código Consultora,Segmento a C05
0414169,TOP
0158213,TOP
0037994,TOP
0017362,TOP
0401940,TOP
0220882,TOP
0426905,TOP
0219761,TOP
0213572,TOP
0350233,TOP
0234782,TOP
0244214,TOP
0029852,TOP
0243758,TOP
0521343,TOP
0181985,TOP
0520180,TOP
0272566,TOP
0028165,TOP
0151514,TOP
0332760,TOP
0006098,TOP
0339264,TOP
0230468,TOP
0094432,TOP
0185818,TOP
0160092,TOP
0150458,TOP
0356511,TOP
0380793,TOP
0329060,TOP
0606719,TOP
0408138,TOP
0087586,TOP
0231488,TOP
0576345,TOP
0248084,TOP
0132562,TOP
0000274,TOP
0318302,TOP
0332521,TOP
0314644,TOP
0419154,TOP
0022464,TOP
0630888,TOP
0137145,TOP
0249239,TOP
0195534,TOP
0500877,TOP
0246215,TOP
0249464,TOP
0036094,TOP
0225687,TOP
0150999,TOP
0370117,TOP
0309947,TOP
0230389,TOP
0200431,TOP
0314328,TOP
0527708,TOP
0214184,TOP
0383470,TOP
0538829,TOP
0120687,TOP
0588117,TOP
0175533,TOP
0283279,TOP
0387574,TOP
0476397,TOP
0574807,TOP
0188331,TOP
0359094,TOP
0064845,TOP
0188169,TOP
0258616,TOP
0087489,TOP
0524827,TOP
0398903,TOP
0257542,TOP
0274490,TOP
0268853,TOP
0514668,TOP
0243143,TOP
0266263,TOP
0215703,TOP
0198112,TOP
0422731,TOP
0319398,TOP
0538100,TOP
0187704,TOP
0178680,TOP
0174518,TOP
0289599,TOP
0228601,TOP
0044424,TOP
0208642,TOP
0597204,TOP
0591631,TOP
0266926,TOP
0131316,TOP
0311147,TOP
0314072,TOP
0327294,TOP
0438597,TOP
0207314,TOP
0339442,TOP
0359931,TOP
0614991,TOP
0404011,TOP
0384175,TOP
0207279,TOP
0190022,TOP
0184079,TOP
0098719,TOP
0199413,TOP
0033409,TOP
0003618,TOP
0545552,TOP
0285012,TOP
0359850,TOP
0147083,TOP
0309874,TOP
0185696,TOP
0318340,TOP
0204973,TOP
0115304,TOP
0410573,TOP
0484691,TOP
0206579,TOP
0019283,TOP
0343948,TOP
0295162,TOP
0497641,TOP
0239587,TOP
0207026,TOP
0227020,TOP
0096327,TOP
0060197,TOP
0291889,TOP
0201283,TOP
0202187,TOP
0022238,TOP
0032176,TOP
0129411,TOP
0238354,TOP
0235724,TOP
0323490,TOP
0137468,TOP
0473238,TOP
0029196,TOP


