País|Campaña|CUV|Unidades|Precio Normal|Unidades Permitidas|Nombre de Set|Codigo Categoria|Tip Negocio|SubCampania
MX|201707|96585|320|660|100|It's You + Delineador Line 4 Ever Pincel + Labial Mad 4 Color + Bolsa de Regalo|codigo-2||0
MX|201707|96610|98|370|100|Máscara Volumania Curve + Delineador Line 4 Ever Pincel + Labial Mad 4 Color|codigo-2||0
MX|201707|96609|201|560|100|Máscara Volumania Curve + Studio Look Delineador Gel + Studio Look Sombras + Studio Look Sombras|codigo-2||0
MX|201707|96660|548|670|100|Pack x3 Máscara Full Size Apa + Bolsa de Regalo|codigo-3||0
MX|201707|96664|522|820|100|Sombras Kit Cejas + Clu Delineador Líquido + Demaquillador Bifásico + Bolsa de Regalo|codigo-1||0
MX|201707|96590|77|700|100|Flirty + Máscara Multilashes impact Pro + Delineador Kohl + Bolsa de Regalo|codigo-3||0
MX|201707|96672|52|920|100|Radiant + Clu Delineador Líquido + Bolsa de Regalo|codigo-1||0
MX|201707|96682|431|550|100|Clu Delineador Líquido + Labial en Barra Colorfix + Delineador Cejas + Bolsa de Regalo|codigo-3||0
MX|201707|96594|30|610|100|Dancing Night + Delineador Line 4 Ever Pincel + Delineador Line 4 Ever Pincel|codigo-2||0
MX|201707|96634|122|660|100|Fashion 101 + Delineador Line 4 Ever Pincel + Delineador Line 4 Ever Pincel|codigo-2||0
MX|201707|96665|168|820|100|Mithyka + Delineador Kohl + Delineador Cejas + Bolsa de Regalo|codigo-3||1
MX|201707|96584|59|810|100|It's You + Clu Delineador Líquido + Delineador Cejas + Bolsa de Regalo|codigo-2||0
MX|201707|96666|38|1070|100|Mithyka + It's You Emotion + Delineador de Ojos + Bolsa de Regalo|codigo-3||0
MX|201707|96633|30|840|100|Fashion 101 + Flirty + Studio Look Delineador Gel|codigo-2||0
MX|201707|96639|98|1400|100|Mithyka Zaffyr + Mithyka + Demaquillador Bifásico + Bolsa de Regalo|codigo-3||0
MX|201707|96591|89|840|100|Flirty + Flirty Sexy + Máscara Volumania Curve + Delineador Twist|codigo-3||0
MX|201707|96600|30|1010|100|Passion Musk + Secret Musk + Máscara Full Size Apa + Bolsa de Regalo|codigo-3||0
MX|201707|96625|118|560|100|#True + Delineador Pincel|codigo-2||0
MX|201707|96683|355|675|100|Clu Delineador Líquido + Labial en barra Velour + Labial en Barra Colorfix + Bolsa de Regalo|codigo-1||0
MX|201707|96601|47|920|100|Brises De Vie Aqua + It's You + Bolsa de Regalo|codigo-2||1
MX|201707|96618|413|1160|100|Nocturne Serum + Máscara Full Size Apa + Delineador Kohl + Labial en Barra Colorfix + Bolsa de Regalo|codigo-1|Ofrece Nocturne Serum a personas de todas las edades que deseen tener una piel renovada en 14 noches!|0
MX|201707|96668|844|725|100|Máscara Full Size Apa + Colorfix Delineador Gel + Labial Colorfix Duo Tattoo + Labial Colorfix Duo Tattoo + Bolsa de Regalo|codigo-3||0
MX|201707|96662|361|1165|100|Sombras Kit Cejas + Clu Delineador Líquido + Clu Embellecedor Megacils + Labial Velour + Bolsa de Regalo|codigo-1||0
MX|201707|96673|38|800|100|Radiant + Labial en Barra Colorfix + Bolsa de Regalo|codigo-1||1
MX|201707|96593|39|880|100|Brises De Vie Aqua + Body & Spirit Sensual|codigo-2|Gana más con los exitosos aromas L'BEL. Sus fragancias frescas son perfectas para el uso diario!|0
MX|201707|96637|825|580|100|It's You Emotion + Labial en Barra Colorfix + Bolsa de Regalo|codigo-2||0
MX|201707|96624|49|1020|100|Liasson Temps + Clu Delineador Líquido + Bolsa de Regalo|codigo-1||0
MX|201707|96661|81|870|100|Sombras Kit Cejas + Clu Delineador Líquido + Colorfix Delineador Gel + Bolsa de Regalo|codigo-1||0
MX|201707|96589|316|890|100|Perl Sol Natural Bronze + Máscara Multilashes impact Pro + Labial Perfect Match Volumen + Bolsa de Regalo|codigo-3||0
MX|201707|96627|99|830|100|Satin Rouge + Labial en Barra Colorfix + Bolsa de Regalo|codigo-3||0
MX|201707|96595|167|820|100|Dermo Clarité Dia + Labial en Barra Colorfix + Bolsa de Regalo|codigo-1||1
MX|201707|96616|219|800|100|Nocturne Serum + Labial en Barra Colorfix + Bolsa de Regalo|codigo-1||0
MX|201707|96582|398|830|100|It's You + Demaquillador Bifásico + Labial Perfect Match Volumen + Bolsa de Regalo|codigo-1||0
MX|201707|96617|131|1005|100|Nocturne Serum + Máscara Multilashes impact Pro + Demaquillador Bifásico + Bolsa de Regalo|codigo-1||0
"MX|201707|96612|179|1005|100|CC Cream Hidratante + Clu Delineador Líquido + Máscara Multilashes impact Pro + Bolsa de Regalo|codigo-1|Coméntale a tus clientes sobre los 3 beneficios que ofrece CC Cream: Hidrata por 24 Horas, Protege de rayos UV, y Corrige imperfecciones de manera inmediata!"|0
MX|201707|96586|94|660|100|It's You + Máscara Multilashes impact Pro + Bolsa de Regalo|codigo-2||0
MX|201707|96622|61|645|100|Máscara Opulence + Labial en barra Velour + Delineador Cejas + Bolsa de Regalo|codigo-1||0
MX|201707|96643|247|700|100|Labial Hidracolor 3 en 1 + Labial Hidracolor 3 en 1 + Labial Hidracolor 3 en 1 + Labial Hidracolor 3 en 1 + Bolsa de Regalo|codigo-3|Recomienda el labial Hidracolor a clientes que busquen un labial hidratante con color intenso y recuperar la juventud de los labios.|0
